Preferential,RooCode_0,Roo_accum,Roo_rvcformula,productCode,Roo_indir,reporter,RooText_1,FtaStatusDesc,Roo_outward,Roo_demin,Coo_pen,FtaId,ProductAffected_0,FtaScope,RooText_0,RooCode_1,FtaStatusDate,Coo_ver,Roo_terr,partner,Roo_packaging,Roo_draw,Coo_adv,Roo_trans,FtaCode,Roo_sets,Coo_valid,Coo_exmptcoo,Roo_mo,ProductAffected_1,Coo_err,Roo_fungible,rank,Roo_exhibitions,Roo_accessories,FtaType,Roo_roll,Coo_comp,FtaName,Coo_approved,Coo_app,Coo_coo,Coo_sup,Coo_retention,Coo_refund,Coo_tpi,MFN,Roo_wo
,,,,8703900000,,458,,,,,,199,,,,,,,,104,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,RVC 45% (35% for APTA LDCs),diagonal,import content,8703900000,not included,699,,IN FORCE,not included,not included,not provided,68,,"Plurilateral, Country-Country","(a) Within the meaning of Rule 1(b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from nonParticipating States or of undetermined origin used does not exceed 55 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting Participating State shall be eligible for preferential concessions, subject to the provisions of Rule 3(c), (d) and (e). RULE 10: Special criteria percentage Products originating in least developed Participating States can be allowed a favorable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 65 percent, and for Rule 4, the percentage would not be less than 50 percent.",,01.01.2021,Indirect,not included,496,included,not included,not provided,included,ITC00069,not included,1 year,not included,provided,,provided,not included,4,included,not included,Partial scope agreement,not included,provided,APTA (formerly Bangkok Agreement),not included,not provided,authorized body,provided,2 years,not included,not provided,,provided
,,,,8703900000,,764,,,,,,94,,,,,,,,096,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,,,,8703900000,,418,,,,,,139,,,,,,,,096,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,8703900000,,757,,,,,,337,,,,,,,,579,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,RVC 50% (40% for GSTP LDCs),diagonal,not included,8703900000,not included,699,,IN FORCE,not included,not included,not provided,873,,"Plurilateral, Country-Country","(a) Within the meaning of Rule 1 (b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from non-participants or of undetermined origin used does not exceed 50 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting participant shall be eligible for preferential concessions subject to the provisions of Rule 3 (c) and Rule 4. RULE 10: Special criteria percentage Products originating in participating least developed countries can be allowed a favourable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 60 percent, and for Rule 4, the percentage would not be less than 50 per cent.",,19.04.1989,not provided,not included,144,included,not included,not provided,included,ITC00903,not included,not provided,not included,not provided,,not provided,not included,3,not included,not included,Partial scope agreement,not included,not provided,GSTP,not included,not provided,authorized body,not provided,not provided,not included,not provided,,provided
,,,,8703900000,,418,,,,,,94,,,,,,,,104,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,,8703900000,,458,,,,,,852,,,,,,,,392,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,,8703900000,,418,,,,,,199,,,,,,,,096,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,,,,8703900000,,1012,,,,,,873,,,,,,,,032,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
